لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,وسيلة الدفع,معروضة,أصحاب سابقون,عدد الركاب,الدفع,air_conditioner,central_closing,alarm_devise,CD_recorder,leather_upholstery,air_cushion,magnesium_rims,sunroof,التكميلي (جسم المركبة),طرف ثالث,المجموع,name_car,model_car,price_car
أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٨٣٠٠٠,إمكانية التقسيط,للبيع فقط,يد اولى,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,كيا برايد,موديل سنة 2008,44000.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,42000,نقدا فقط,للبيع أو التبديل,يد اولى,4+1,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1035.0,1016.0,2050.0,هونداي اكسنت,موديل سنة 2013,58000.0
أسود,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,85000,إمكانية التقسيط,للبيع فقط,يد ثانيه,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,بيجو 508,موديل سنة 2013,40000.0
أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,30000,إمكانية التقسيط,للبيع أو التبديل,3,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1226.0,2565.0,سكودا اوكتافيا,موديل سنة 2010,70000.0
رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,670.0,500.0,1170.0,سوبارو امبريزا,موديل سنة 1999,33000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,105,نقدا فقط,للبيع فقط,ثالثه,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1366.0,2400.0,سيت ليون,موديل سنة 2017,78000.0
خمري,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,إمكانية التقسيط,للبيع أو التبديل,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,845.0,500.0,1345.0,مرسيدس 220,موديل سنة 1999,50000.0
برتقالي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,4+1,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,670.0,500.0,1170.0,اودي 80,موديل سنة 1985,18000.0
أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,670.0,500.0,1170.0,هونداي كوبيه,موديل سنة 1999,30000.0
أصفر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,50000,إمكانية التقسيط,للبيع أو التبديل,٣,5+1,دفع أمامي,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,670.0,525.0,1195.0,فولكسفاجن كبينة,موديل سنة 1979,60000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,180000,إمكانية التقسيط,للبيع فقط,,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1035.0,1226.0,2260.0,فولكسفاجن جولف,موديل سنة 2010,70000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,6700,120000,إمكانية التقسيط,للبيع أو التبديل,يد اولى,4+1,دفع رباعي 4x4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1690.0,2188.0,3878.0,Dodge رام,موديل سنة 2015,125000.0
أزرق,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,0000014,إمكانية التقسيط,للبيع أو التبديل,٤,4+١,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,670.0,500.0,1170.0,سيت قرطبة,موديل سنة 2001,25000.0
ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,220000,إمكانية التقسيط,للبيع فقط,6,4+1,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1000.0,2035.0,هونداي جيتس,موديل سنة 2007,32000.0
أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,نقدا فقط,للبيع أو التبديل,,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,سكودا اوكتافيا,موديل سنة 2005,42000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,100 الف,إمكانية التقسيط,للبيع فقط,يد ثانية,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,بيجو 208,موديل سنة 2016,39500.0
سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,١٤٠٠٠,إمكانية التقسيط,للبيع أو التبديل,٢,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1366.0,2400.0,سكودا رابيد,موديل سنة 2017,78000.0
أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,3,2,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,670.0,500.0,1170.0,سكودا فيليسيا,موديل سنة 2000,25000.0
فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,48000,إمكانية التقسيط,للبيع فقط,اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,2713.0,4053.0,فولكسفاجن تيجوان,موديل سنة 2017,155000.0
خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120,نقدا فقط,للبيع فقط,٤,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,بيجو 207,موديل سنة 2008,23000.0
رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1190.0,2530.0,هونداي توسان,موديل سنة 2012,68000.0
فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,69000,إمكانية التقسيط,للبيع أو التبديل,اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1663.0,3003.0,هونداي توسان,موديل سنة 2013,95000.0
فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,30000,نقدا فقط,للبيع فقط,0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,3063.0,4753.0,مرسيدس C250,موديل سنة 2015,175000.0
أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,129100,نقدا فقط,للبيع فقط,3,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,1143.0,2833.0,,,
سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,5000000,نقدا فقط,للبيع أو التبديل,يد 5,4+1,دفع خلفي,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,670.0,500.0,1170.0,مرسيدس E220,موديل سنة 2005,65300.0
