Fuel type,license type,driving license,Gear type,Glass,Motor power,Payment method,Previous owners,Number Of Passengers,magnesium_rims,sunroof,Name,Model,Price,scaled_motor_power,normalized_price,brand,type,Alfa Romeo,Audi,BMW,Bus,Cadillac,Chevrolet,Citroen,DAF,Dacia,Daewoo,Daihatsu,Dodge,Fiat,Ford,GMC,Honda,Hyundai,Isuzu,Iveco,Jaguar,Jeep,Kia,Land Rover,Mazda,Mercedes,Mitsubishi,Motorcycle,Nissan,Opel,Peugeot,Renault,Rover,Seat,Skoda,SsangYong,Subaru,Suzuki,Toyota,Truck,Volkswagen,Volvo
1,5,1,3,1,1600.0,0,1,5,0,0,كيا برايد,2008,44000.0,0.45833333333333337,0.2823706785876528,Kia,برايد,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1400.0,1,1,5,20,0,هونداي اكسنت,2013,58000.0,0.375,0.3745432519800644,Hyundai,اكسنت,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,2,1,2000.0,0,1,5,20,20,بيجو 508,2013,40000.0,0.625,0.25603565761839236,Peugeot,508,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,5,1,1,1,1900.0,0,3,5,20,0,سكودا اوكتافيا,2010,70000.0,0.5833333333333334,0.45354831488784575,Skoda,اوكتافيا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,5,1,1,1,1600.0,1,1,5,20,0,سوبارو امبريزا,1999,33000.0,0.45833333333333337,0.2099493709221866,Subaru,امبريزا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,5,1,3,1,1200.0,1,1,5,20,0,سيت ليون,2017,78000.0,0.29166666666666663,0.5062183568263666,Seat,ليون,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1,1,3,1,2200.0,0,1,5,20,0,مرسيدس 220,1999,50000.0,0.7083333333333334,0.3218732100415435,Mercedes,220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,1,1,2000.0,0,0,5,20,20,هونداي كوبيه,1999,30000.0,0.625,0.19019810519524127,Hyundai,كوبيه,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1400.0,0,1,5,20,0,فولكسفاجن جولف,2010,70000.0,0.375,0.45354831488784575,Volkswagen,جولف,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,5,1,3,1,1600.0,0,1,5,20,0,Dodge رام,2015,125000.0,0.45833333333333337,0.815654853215177,Dodge,رام,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,1,1,1,1900.0,0,4,5,0,0,سيت قرطبة,2001,25000.0,0.5833333333333334,0.15727932898366573,Seat,قرطبة,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,5,1,3,1,1400.0,0,6,5,0,0,هونداي جيتس,2007,32000.0,0.375,0.2033656156798715,Hyundai,جيتس,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,1,1,1,1900.0,1,1,5,20,0,سكودا اوكتافيا,2005,42000.0,0.5833333333333334,0.2692031681030226,Skoda,اوكتافيا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,5,1,1,1,1200.0,0,1,5,20,0,بيجو 208,2016,39500.0,0.29166666666666663,0.2527437799972348,Peugeot,208,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,1400.0,0,2,5,20,0,سكودا رابيد,2017,78000.0,0.375,0.5062183568263666,Skoda,رابيد,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
